Visitor,Plant,Elevation,Site,Data,Day,Month,Year,ElevationCorrect,Plant2,MinEle,MaxEle,AltZone,EleZone
Bombus bohemicus,Buddleia davidii,910,P188,Biesmeijer,24,8,2005,910,Buddleia davidii,1000,1000,montane,1000-1200
Bombus soroeensis,Origanum vulgare,910,P189,Biesmeijer,24,8,2005,910,Origanum vulgare,1000,1000,montane,1000-1200
Bombus quadricolor,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus humilis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus humilis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus humilis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus humilis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus pascuorum,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus soroeensis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus soroeensis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus soroeensis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus soroeensis,Echium vulgare,910,P190,Biesmeijer,24,8,2005,910,Echium vulgare,1000,1000,montane,1000-1200
Bombus pascuorum,Buddleia davidii,910,P191,Biesmeijer,24,8,2005,910,Buddleia davidii,1000,1000,montane,1000-1200
Bombus soroeensis,Buddleia davidii,910,P191,Biesmeijer,24,8,2005,910,Buddleia davidii,1000,1000,montane,1000-1200
Bombus hortorum,Ballota foetida,1000,Gedre,MacLeod,5,8,1889,1000,Ballota foetida,1000,1000,montane,1000-1200
Bombus humilis,Ballota foetida,1000,Gedre,MacLeod,5,8,1889,1000,Ballota foetida,1000,1000,montane,1000-1200
Bombus pascuorum,Echium vulgare (incl. forma pyrenaica),1000,Gedre,MacLeod,25,8,1889,1000,Echium vulgare,1000,1000,montane,1000-1200
Bombus pascuorum,Brunella vulgaris,1000,Gedre,MacLeod,5,8,1889,1000,Brunella vulgaris,1000,1000,montane,1000-1200
Bombus pascuorum,Teucrium scorodonia,1000,Gedre,MacLeod,26,8,1889,1000,Teucrium scorodonia,1000,1000,montane,1000-1200
Bombus pascuorum,Cirsium monspessulanum,1000,Gedre,MacLeod,9,8,1889,1000,Cirsium monspessulanum,1000,1000,montane,1000-1200
Bombus pascuorum,Cirsium monspessulanum,1000,Gedre,MacLeod,29,8,1889,1000,Cirsium monspessulanum,1000,1000,montane,1000-1200
Bombus pascuorum,Centaurea scabiosa,1000,Gedre,MacLeod,11,8,1889,1000,Centaurea scabiosa,1000,1000,montane,1000-1200
Bombus pascuorum,Carlina vulgaris,1000,Gedre,MacLeod,26,8,1889,1000,Carlina vulgaris,1000,1000,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1000,Gedre,MacLeod,5,8,1889,1000,Centaurea nigra,1000,1000,montane,1000-1200
Bombus pascuorum,Picris hieracioides,1000,Gedre,MacLeod,5,8,1889,1000,Picris hieracioides,1000,1000,montane,1000-1200
Bombus pascuorum,Sedum albescens,1000,Gedre,MacLeod,8,8,1889,1000,Sedum albescens,1000,1000,montane,1000-1200
Bombus hortorum,Echium vulgare (incl. forma pyrenaica),1000,Gedre,MacLeod,25,8,1889,1000,Echium vulgare,1000,1000,montane,1000-1200
Bombus hortorum,Verbascum  nigrum,1000,Gedre,MacLeod,8,8,1889,1000,Verbascum  nigrum,1000,1000,montane,1000-1200
Bombus hortorum,Galeopsis ladanum,1000,,MacLeod,26,8,1889,1000,Galeopsis ladanum,1000,1000,montane,1000-1200
Bombus hortorum,Betonica officinalis,1000,Gedre,MacLeod,11,8,1889,1000,Betonica officinalis,1000,1000,montane,1000-1200
Bombus hortorum,Brunella grandiflora,1000,Gedre,MacLeod,5,8,1889,1000,Brunella grandiflora,1000,1000,montane,1000-1200
Bombus hortorum,Brunella grandiflora,1000,Gedre,MacLeod,8,8,1889,1000,Brunella grandiflora,1000,1000,montane,1000-1200
Bombus hortorum,Teucrium scorodonia,1000,Gedre,MacLeod,5,8,1889,1000,Teucrium scorodonia,1000,1000,montane,1000-1200
Bombus hortorum,Teucrium scorodonia,1000,Gedre,MacLeod,11,8,1889,1000,Teucrium scorodonia,1000,1000,montane,1000-1200
Bombus hortorum,Cirsium monspessulanum,1000,Gedre,MacLeod,5,8,1889,1000,Cirsium monspessulanum,1000,1000,montane,1000-1200
Bombus hortorum,Cirsium monspessulanum,1000,Gedre,MacLeod,9,8,1889,1000,Cirsium monspessulanum,1000,1000,montane,1000-1200
Bombus hortorum,Trifolium pratense,1000,Gedre,MacLeod,5,8,1889,1000,Trifolium pratense,1000,1000,montane,1000-1200
Bombus lapidarius,Verbascum  nigrum,1000,Gedre,MacLeod,8,8,1889,1000,Verbascum  nigrum,1000,1000,montane,1000-1200
