Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Bombus bohemicus,Buddleia davidii,24/8/2005,P188,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Origanum vulgare,24/8/2005,P189,Survey2005-06,1000,1000,1000-1200
Bombus quadricolor,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus pascuorum,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/8/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus pascuorum,Buddleia davidii,24/8/2005,P191,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Buddleia davidii,24/8/2005,P191,Survey2005-06,1000,1000,1000-1200
Bombus hortorum,Ballota foetida,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus humilis,Ballota foetida,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Echium vulgare,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Brunella vulgaris,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Teucrium scorodonia,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Cirsium monspessulanum,9/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Cirsium monspessulanum,29/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Centaurea scabiosa,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Carlina vulgaris,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Centaurea nigra,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Picris hieracioides,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200
