Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone,Longitude,Latitude
Bombus sichelii,Scrophularia alpestris,15/8/1889,Cirque de Gavarnie,Survey1889,1700,1700,1600-1800,-0.007369,42.696842
Bombus soroeensis,Scrophularia alpestris,15/8/1889,Cirque de Gavarnie,Survey1889,1700,1700,1600-1800,-0.007369,42.696842
Bombus gerstaeckeri,Aconitum sp.,27/8/1889,cirque de Trumouse,Survey1889,1900,1900,1800-2000,0.109562,42.731786
Bombus sichelii,Galeopsis tetrahit,27/8/1889,cirque de Trumouse,Survey1889,2000,2000,2000-2200,0.110048,42.731608
Bombus ruderarius,Trifolium pratense,27/8/1889,cirque de Trumouse,Survey1889,2000,2000,2000-2200,0.110048,42.731608
Bombus terrestris complex,Carduus carlinoides,27/8/1889,cirque de Trumouse,Survey1889,2000,2000,2000-2200,0.110048,42.731608
Bombus hortorum,Aconitum sp.,17/8/1889,Gavarnie,Survey1889,1500,1500,1400-1600,-0.013661,42.731529
Bombus hortorum,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1500,1500,1400-1600,-0.013661,42.731529
Bombus hortorum,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1500,1500,1400-1600,-0.013661,42.731529
Bombus wurflenii,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1500,1500,1400-1600,-0.013661,42.731529
Bombus wurflenii,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1500,1500,1400-1600,-0.013661,42.731529
Bombus sichelii,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus sichelii,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus mesomelas,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus mesomelas,Carduus defloratus,17/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus mesomelas,Carduus defloratus,23/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus terrestris complex,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus terrestris complex,Carduus defloratus,14/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus terrestris complex,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus sichelii,Cirsium eriophorum,23/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus sichelii,Trifolium repens,22/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus sichelii,Lotus corniculatus,22/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus hortorum,Iris pyrenaica,16/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus hortorum,Cirsium eriophorum,22/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus wurflenii,Cirsium eriophorum,22/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus wurflenii,Cirsium eriophorum,23/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus ruderarius,Cirsium eriophorum,22/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus soroeensis,Cirsium eriophorum,17/8/1889,Gavarnie,Survey1889,1550,1550,1400-1600,-0.014504,42.731285
Bombus wurflenii,Anthyllis vulneraria,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Trifolium pratense,14/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Anthyllis vulneraria,14/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Trifolium pratense,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus sichelii,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus sichelii,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus mesomelas,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus mesomelas,Carduus defloratus,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus mesomelas,Carduus defloratus,23/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus terrestris complex,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus terrestris complex,Carduus defloratus,14/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus terrestris complex,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Aconitum sp.,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus sichelii,Stachys sylvatica,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus gerstaeckeri,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Galeopsis tetrahit,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Galeopsis tetrahit,23/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus hortorum,Aconitum sp.,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Aconitum sp.,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Aconitum sp.,22/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus mesomelas,Brunella vulgaris,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus mesomelas,Lotus corniculatus,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus soroeensis,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus soroeensis,Carduus defloratus,17/8/1889,Gavarnie,Survey1889,1600,1600,1600-1800,-0.015187,42.731362
Bombus wurflenii,Anthyllis vulneraria,16/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Trifolium pratense,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Anthyllis vulneraria,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Trifolium pratense,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus mesomelas,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus mesomelas,Carduus defloratus,17/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus mesomelas,Carduus defloratus,23/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Carduus defloratus,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Carduus defloratus,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Carduus defloratus,16/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus hortorum,Aconitum sp.,17/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus hortorum,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus hortorum,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Aconitum sp.,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Aconitum sp.,16/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Sideritis hyssopifolia,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Brunella vulgaris,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Brunella vulgaris,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Teucrium pyrenaicum,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Carduus carlinoides,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Geranium cinereum,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus sichelii,Lotus corniculatus,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus hortorum,Teucrium pyrenaicum,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus monticola,Sideritis hyssopifolia,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Rhinanthus minor,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Sideritis hyssopifolia,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Sideritis hyssopifolia,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Phyteuma orbiculare,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus wurflenii,Lotus corniculatus,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus mendax,Teucrium pyrenaicum,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus pratorum,Knautia arvensis,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Sideritis hyssopifolia,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Knautia arvensis,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Scabiosa columbaria,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Campanula rotundifolia,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Campanula rotundifolia,14/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus humilis,Knautia arvensis,13/8/1889,Gavarnie,Survey1889,1700,1700,1600-1800,-0.016726,42.731382
Bombus terrestris complex,Campanula rapunculoides,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Campanula rapunculoides,8/8/1889,Gedre,Survey1889,1000,1200,1200-1400,0.018592,42.786084
Bombus terrestris complex,Campanula rapunculoides,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Campanula rapunculoides,10/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Rubus fruticosus,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Rubus fruticosus,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Rubus fruticosus,10/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Rubus fruticosus,29/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Teucrium scorodonia,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Lathyrus pyrenaicus?,29/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Teucrium scorodonia,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Lathyrus pyrenaicus?,9/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Teucrium scorodonia,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Centaurea nigra,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus lapidarius,Centaurea nigra,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus terrestris complex,Scabiosa columbaria,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Satureja montana,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Centaurea nigra,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Centaurea nigra,8/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus quadricolor,Centaurea nigra,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus hortorum,Ballota foetida,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus humilis,Ballota foetida,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Echium vulgare,25/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Brunella vulgaris,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Teucrium scorodonia,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Cirsium monspessulanum,9/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Cirsium monspessulanum,29/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Centaurea scabiosa,11/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Carlina vulgaris,26/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
Bombus pascuorum,Centaurea nigra,5/8/1889,Gedre,Survey1889,1000,1000,1000-1200,0.018592,42.786084
