Visitor,Plant,Family,Date,Elevation,Site,Data,Plant2,ElevationCorrect,MinEle,MaxEle,EleZone
Bombus quadricolor,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus humilis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus humilis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus humilis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus humilis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus pascuorum,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus sp.,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus sp.,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,Hymenoptera,24/08/2005,910,P190,Biesmeijer,Echium vulgare,910,1000,1000,1000-1200
Maniola jurtina,Origanum vulgare,Lepidoptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Eristalis lineata,Origanum vulgare,Diptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Halictus ,Origanum vulgare,Hymenoptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Apis ,Origanum vulgare,Hymenoptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Eristalis tenax,Origanum vulgare,Diptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Bombus soroeensis,Origanum vulgare,Hymenoptera,24/08/2005,910,P189,Biesmeijer,Origanum vulgare,910,1000,1000,1000-1200
Vanessa atalanta,Centaurea nigra,Lep.,31/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus pascuorum,Centaurea nigra,Hym.,5/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus mesomelas,Centaurea nigra,Hym.,25/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
Bombus terrestris complex,Centaurea nigra,Hym.,25/08/1889,1000,Gedre,MacLeod,Centaurea nigra,1000,1000,1000,1000-1200
