Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Bombus quadricolor,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus humilis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus pascuorum,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus sp.,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus sp.,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Echium vulgare,24/08/2005,P190,Survey2005-06,1000,1000,1000-1200
Maniola jurtina,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Eristalis lineata,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Halictus ,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Apis ,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Eristalis tenax,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Bombus soroeensis,Origanum vulgare,24/08/2005,P189,Survey2005-06,1000,1000,1000-1200
Vanessa atalanta,Centaurea nigra,31/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus mesomelas,Centaurea nigra,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Centaurea nigra,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Argynnis adippe,Centaurea nigra,31/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Argynnis adippe,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,29/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Argynnis paphia,Centaurea nigra,30/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Colias croceus,Centaurea nigra,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Colias croceus,Centaurea nigra,30/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Crambus perlella,Centaurea nigra,31/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Polyommatus icarus,Centaurea nigra,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Papilio machaon,Centaurea nigra,31/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Pieris brassicae,Centaurea nigra,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Pieris rapae,Centaurea nigra,30/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Gonepteryx rhamni,Centaurea nigra,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Polygonia C-album,Centaurea nigra,31/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Vanessa cardui,Centaurea nigra,30/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus mesomelas,Centaurea scabiosa,11/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Centaurea scabiosa,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
