Grid_ID,Avg_Ele,LU1910,LU1920,LU1930,LU1940,LU1950,LU1960,LU1970,LU1980,LU1990,LU2000,LU2010,EleZone
1,2188.501217,555,555,555,555,555,555,555,555,555,555,555,z3
2,1632.670093,444,333,333,333,333,333,333,444,444,444,444,z2
3,1343.865375,444,444,333,333,333,333,333,333,333,333,333,z1
4,2079.838211,444,333,333,333,333,333,444,444,444,444,444,z3
5,1687.210676,444,333,333,333,333,333,333,333,333,333,333,z2
6,1690.39425,444,333,333,333,333,333,444,444,444,444,444,z2
7,1698.08323,444,333,333,333,333,333,333,333,333,333,333,z2
8,2079.959376,555,555,555,555,555,555,555,555,555,555,555,z3
9,2204.900353,555,555,555,555,555,555,555,555,555,555,555,z3
10,2096.115193,444,333,333,333,333,333,333,333,333,333,333,z3
11,1801.724325,444,333,333,333,333,444,444,444,444,444,444,z3
12,2113.388177,444,333,333,333,333,333,333,444,444,444,444,z3
13,1779.69142,555,555,555,555,555,555,555,555,555,555,555,z2
14,2249.522376,555,555,555,555,555,555,555,555,555,555,333,z3
15,2163.832487,555,555,555,555,555,555,555,555,555,555,555,z3
16,2145.931846,555,555,555,555,555,555,555,555,555,555,555,z3
17,2075.187155,444,333,333,333,333,333,444,444,444,444,444,z3
18,2234.05135,444,444,444,444,444,444,444,444,444,444,444,z3
19,2217.141834,555,555,555,555,555,555,555,555,555,555,444,z3
20,2138.541742,555,555,555,555,555,555,555,555,555,555,444,z3
21,1605.895494,444,444,444,333,333,333,333,333,333,333,555,z2
22,1969.731012,555,555,555,555,555,555,555,555,555,555,333,z3
23,2225.953171,555,555,555,555,555,555,555,555,555,555,444,z3
24,2183.03408,555,555,555,555,555,555,555,555,555,555,555,z3
25,1893.323605,444,444,444,444,444,444,444,444,444,444,444,z3
26,2234.08858,555,555,555,555,555,555,555,555,555,555,555,z3
27,2205.076127,555,555,555,555,555,555,555,555,555,555,444,z3
28,2134.044045,444,333,333,333,333,444,444,444,444,444,444,z3
29,2240.81422,444,333,333,333,333,444,444,444,444,444,444,z3
30,2103.279943,444,444,444,444,444,444,444,444,444,444,444,z3
31,1981.149319,444,444,444,444,444,444,444,444,444,444,444,z3
32,1840.914618,555,555,555,555,555,555,555,555,555,555,555,z3
33,1524.151975,444,444,444,333,333,333,333,333,333,333,444,z2
34,1700.256756,444,444,444,444,444,444,444,444,444,444,444,z2
35,1923.52343,555,555,555,555,555,555,555,555,555,555,444,z3
36,2237.557342,555,555,555,555,555,555,555,555,555,555,555,z3
37,1877.035293,555,555,555,555,555,555,555,555,555,555,444,z3
38,2212.546895,555,555,555,555,555,555,555,555,555,555,444,z3
39,2217.796699,444,444,444,444,444,444,444,444,444,444,555,z3
40,2127.50209,444,444,444,444,444,444,444,444,444,444,555,z3
41,2091.683818,555,555,555,555,555,555,555,555,555,555,444,z3
42,2187.282743,555,555,555,555,555,555,555,555,555,555,444,z3
43,2092.716787,444,444,444,444,444,444,444,444,444,444,555,z3
44,2078.613459,555,555,555,555,555,555,555,555,555,555,444,z3
45,2043.369082,444,444,444,444,444,444,444,444,444,444,555,z3
46,1654.206199,444,444,444,444,444,444,444,444,444,444,444,z2
47,1590.000375,444,444,444,444,444,444,444,444,444,444,333,z2
48,1991.456237,555,555,555,555,555,555,555,555,555,555,444,z3
49,1853.844375,444,444,444,444,444,444,444,444,444,444,444,z3
50,2174.314518,555,555,555,555,555,555,555,555,555,555,444,z3
51,1952.689169,555,555,555,555,555,555,555,555,555,555,444,z3
52,1941.850523,444,444,444,444,444,444,444,444,444,444,444,z3
53,1941.627757,444,444,444,444,444,444,444,444,444,444,444,z3
54,2222.217464,555,555,555,555,555,555,555,555,555,555,555,z3
55,2246.971071,444,444,444,444,444,444,444,444,444,444,444,z3
56,2162.237938,444,444,444,444,444,444,444,444,444,444,555,z3
57,2197.762638,555,555,555,555,555,555,555,555,555,555,555,z3
58,2235.352959,444,444,444,444,444,444,444,444,444,444,444,z3
59,1997.174749,555,555,555,555,555,555,555,555,555,555,555,z3
60,1802.892857,444,444,444,444,444,444,444,444,444,444,444,z3
